# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: D:\Projects\FPGA Test\ic_tester\ic_tester.csv
# Generated on: Mon Sep 25 11:27:51 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
HEX0[6],Output,PIN_H22,6,B6_N0,PIN_H22,,,,,
HEX0[5],Output,PIN_J22,6,B6_N0,PIN_J22,,,,,
HEX0[4],Output,PIN_L25,6,B6_N1,PIN_L25,,,,,
HEX0[3],Output,PIN_L26,6,B6_N1,PIN_L26,,,,,
HEX0[2],Output,PIN_E17,7,B7_N2,PIN_E17,,,,,
HEX0[1],Output,PIN_F22,7,B7_N0,PIN_F22,,,,,
HEX0[0],Output,PIN_G18,7,B7_N2,PIN_G18,,,,,
HEX1[6],Output,PIN_U24,5,B5_N0,PIN_U24,,,,,
HEX1[5],Output,PIN_U23,5,B5_N1,PIN_U23,,,,,
HEX1[4],Output,PIN_W25,5,B5_N1,PIN_W25,,,,,
HEX1[3],Output,PIN_W22,5,B5_N0,PIN_W22,,,,,
HEX1[2],Output,PIN_W21,5,B5_N1,PIN_W21,,,,,
HEX1[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,,,,,
HEX1[0],Output,PIN_M24,6,B6_N2,PIN_M24,,,,,
HEX2[6],Output,PIN_W28,5,B5_N1,PIN_W28,,,,,
HEX2[5],Output,PIN_W27,5,B5_N1,PIN_W27,,,,,
